#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x;;
obj_become_a_rider_title;Become a Rider;Devenir un Cavalier;;;;;x
obj_become_a_rider_desc;Your people are known for their horsemanship, but you haven't received any training in the art of riding. You can try to fill this gap.;Vous êtes membre d'un peuple de cavaliers, mais vous n'avez pas reçu une éducation vous permettant de monter à cheval. Vous devriez tenter de combler ce manque.;;;;;x
EVTTITambitions.0;A Rider in the Fields;Un Cavalier dans les Plaines;;;;;x
EVTDESCambitions.0;You're not a good rider, but you want to improve your skills. One day, you meet an old errant rider who seems to master his horse to perfection. You should ask him to teach you what he knows, to finally become a true Rohirrim;Vous n'êtes pas un bon cavalier, mais vous souhaitez améliorer vos qualités. Un jour, vous rencontrer un vieux cavalier errant qui semble maitriser son cheval à la perfection. Vous devriez lui demander de vous enseigner ce qu'il sait, afin d'enfin devenir un véritable Rohirrim;;;;;x
EVTOPTAambitions.0;Old Man, be my teacher!;Vieil Homme, soyez mon professeur !;;;;;x
EVTOPTBambitions.0;I don't have enough time for this…;Je n'ai pas assez de temps pour cela…;;;;;x
EVTDESCambitions.1;The Old Man has agreed to teach you what he knows, and you begin your training. It will take time before you become a true horseman, but you work seriously.;Le Vieil Homme a accepté de vous apprendre ce qu'il sait, et vous commencez votre formation. Il faudra du temps avant que vous ne deveniez un véritable cavalier, mais vous travaillez sérieusement.;;;;;x
EVTOPTAambitions.1;I hope my skills will be improved!;J'espère que mes talents s'amélioreront !;;;;;x
EVTTITambitions.2;You're not a Rider…;Vous n'êtes pas un Cavalier…;;;;;x
EVTDESCambitions.2;You have tried to follow the formation of the old man, but you never cease to fall off the horse, and you do not seem comfortable on the back of this animal. The Old Man finally announced you that you would never be a good rider, and that you should focus on something else ...;Vous avez bien essayé de suivre la formation du vieil Homme, mais vous ne cessez de tomber de cheval, et vous ne semblez pas à l'aise sur le dos de cet animal. Le Vieil Homme vous a finalement annoncé que vous ne seriez jamais un bon cavalier, et que vous devriez vous concentrer sur autre chose...;;;;;x
EVTOPTAambitions.2;So bad…;Suis-je si mauvais?;;;;;x
EVTTITambitions.3;A New Squire;Un Nouvel Ecuyer;;;;;x
EVTDESCambitions.3;Your training begins to yield results, and the old man made ??you his squire. You can, by investing in new equipments, try to improve your skills, or be content to be at least a Squire.;Votre formation commence à donner des résultats, et le vieil homme fait de vous son écuyer. Vous pouvez, en investissant dans du nouveau matériel, tenter d'améliorer vos qualités, ou vous contenter de ce statut.;;;;;x
EVTOPTAambitions.3;I'll continue to train!;Je vais continuer de m'entrainer !;;;;;x
EVTOPTBambitions.3;It's enough for me.;C'est suffisant pour moi.;;;;;x
EVTTITambitions.4;A Good Rider;Un Bon Cavalier;;;;;x
EVTDESCambitions.4;You improve your skills, and you're now recognized as a good rider. You can always try to improve again, but it'll cost you more money, and it's not sure you can progress ...;Vous avez améliorer vos talents, et vous êtes maintenant reconnu comme un bon cavalier. Vous pouvez toujours tenter de vous améliorer, mais cela vous coutera plus d'argent, et il n'est pas sur que vous y arriviez...;;;;;x
EVTOPTAambitions.4;I'll continue to train!;Je vais continuer de m'entrainer !;;;;;x
EVTOPTBambitions.4;It's enough for me.;C'est suffisant pour moi.;;;;;x
EVTTITambitions.5;A Great Rider;Un Grand Cavalier;;;;;x
EVTDESCambitions.5;You're now a proud Rider of Rohan, able to draw your horses and ride into battle. You could try to become as good as the Old Man who has led you these past months, but it will cost expensive money for a risky outcome ...;Vous êtes maintenant l'un des fiers cavaliers du Rohan, capable de dresser vos chevaux et de monter en combat. Vous pourriez tenter de devenir aussi bon que le Vieil Homme qui vous a entrainé ces derniers mois, mais cela coutera cher, pour un résultat hasardeux...;;;;;x
EVTOPTAambitions.5;I'll continue to train!;Je vais continuer de m'entrainer !;;;;;x
EVTOPTBambitions.5;It's enough for me.;C'est suffisant pour moi.;;;;;x
EVTTITambitions.6;A True Horse-Master;Un Véritable Maitre des Chevaux;;;;;x
EVTDESCambitions.6;You have reached the level of your old master, and you are now recognized as a true Horse-Master. All the money and time put into these studies have not been in vain ... Finally !;Vous avez atteint le niveau de votre vieux maître, et vous êtes dorénavant reconnu comme un véritable Maitre des Chevaux. Tout l'argent et le temps mis dans ces études n'ont pas été vains finalement ...;;;;;x
EVTOPTAambitions.6;I'm proud of my Skills.;Je suis fier de mes Capacités.;;;;;x
EVTTITambitions.7;You can't progress more;Vous ne pouvez plus progresser;;;;;x
EVTDESCambitions.7;You have reached your maximum level, and you are unable to progress. The Old Man has observed you with attention in recent days, and finally said that you wouldn't be able to go further. It's time to stop your studies at his side.;Vous avez atteint votre niveau maximal, et vous n'arrivez plus à progresser. Le Vieil Homme vous a observé avec attention ces derniers jours, et a finalement déclaré que vous ne seriez pas capable d'aller plus loin. Il est temps d'arrêter vos études à ses cotés.;;;;;x
EVTOPTAambitions.7;I have at least learned something.;J'ai au moins appris quelquechose.;;;;;x
obj_become_elf_warrior_title;Become an Elf Warrior;Devenir un Guerrier Elfe;;;;;x
obj_become_elf_warrior_desc;You haven't been trained in the use of sword or bow, but wish to participate in the fighting that take place in Middle Earth, or simply be able to defend yourself if you are attacked.;Vous n'avez pas eu d'entrainement au maniement de l'épée ou de l'arc, et vous souhaitez participer aux combats qui ont lieu en Terre du Milieu, ou simplement être capable de vous défendre si on vous attaque. Vous devriez vous entrainer.;;;;;x
EVTTITambitions.8;The Elvish Barracks;Les Casernes des Elfes;;;;;x
EVTDESCambitions.8;You meet the commander of the troops in your territory, and tell him about your desire to train in martial arts. He invites you to the barracks, and to teach you the basics. He asks you to bring light equipment.;Vous rencontrez le commandant des troupes elfes de votre territoire, et vous lui faites part de votre désir de vous entrainer au maniement des armes. Il vous invite à vous rendre à la caserne, afin de vous y enseigner les bases. Il vous demande de ramener un équipement léger.;;;;;x
EVTOPTAambitions.8;I'll come!;Je viendrais !;;;;;x
EVTOPTBambitions.8;I don't have enough time for this…;Je n'ai pas assez de temps pour cela…;;;;;x
EVTDESCambitions.9;You go to the barracks, and start following a light workout. The first moments are hard, and you feel that you will spend many weeks to master the basics of single combat.;Vous vous rendez aux casernes, et commencez à suivre un entrainement léger. Les premiers instants sont difficiles, et vous sentez que vous devrez passer de nombreuses semaines avant de maitriser les bases du combat singulier.;;;;;x
EVTOPTAambitions.9;I hope my skills will be improved!;J'espère que mes talents s'amélioreront !;;;;;x
obj_become_a_craftsman_title;Become a Craftsman;Devenir un Artisan;;;;;x
obj_become_a_craftsman_desc;Your people are known for the quality of their forges and smithing. You may follow this example and become a renowned artisan in turn.;Votre peuple est réputé pour la qualité de ses forges et de ses réalisations. Vous devriez suivre cet exemple, et devenir à votre tour un artisan renommé.;;;;;x
EVTTITambitions.15;Become a Craftsman;Devenir un Artisan;;;;;x
EVTDESCambitions.15;Your people are known for the quality of their forges and achievements. You should follow this example and become your turn a renowned artisan. But, you must learn how to use the forges. Luckily, a blacksmith in your province is agree to teach you the basics of this art. Will you follow his teaching?;Votre peuple est réputé pour la qualité de ses forges et de ses réalisations. Vous devriez suivre cet exemple, et devenir à votre tour un artisan renommé. Pour réussir, vous devez vous entrainer. Par chance, un forgeron de votre domaine est prêt à vous enseigner les rudiments de cet art. Allez-vous suivre son enseignement?;;;;;x
EVTOPTAambitions.15;I want to become a craftsman.;Je veux devenir un artisan.;;;;;x
EVTOPTBambitions.15;I don't have this ambition anymore.;Je n'ai plus cette ambition.;;;;;x
EVTDESCambitions.16;You followed the master craftsman, who showed you how he worked. He taught you how to use the tools, but it is now up to you to successfully create some objects. It's time to know if you are able to become craftsman ... or not.;Vous avez suivi le maître artisan, qui vous a montré comment il travaillait. Il vous a appris à vous servir des outils, mais c'est maintenant à vous de réussir à concevoir des objets. Il est temps de savoir si vous êtes capable de devenir artisan... ou non.;;;;;x
EVTOPTAambitions.16;I hope that my skills are good enough…;J'espère être assez talentueux…;;;;;x
EVTTITambitions.17;You failed!;Vous avez échoué!;;;;;x
EVTDESCambitions.17;You have worked extensively on several different objects: a basic sword, a simple brooch, and a vase. But your sword isn't strong enough, your brooch has a rather ugly form, and your vase is really too porous. It seems that you can't become a true craftsman, and your master told you to focus on other things.;Vous avez travaillé longuement sur plusieurs objets différents : une épée basique, une broche simple, un vase. Mais votre épée n'est pas assez solide, votre broche a une forme assez laide, et votre vase est trop poreux. Il semblerait que vous ne soyez pas fait pour devenir un artisan digne de ce nom.;;;;;x
EVTOPTAambitions.17;My hands are too clumsy.;Mes mains ne sont pas assez adroites.;;;;;x
EVTTITambitions.18;A True Craftsman.;Un Véritable Artisan.;;;;;x
EVTDESCambitions.18;"You managed to create objects of good quality, and your master is proud of you. You will need to create more objects before being able to call you ""legendary artisan"", but you're on the right path to get there.";"Vous avez réussi à créer des objets de bonne facture, et votre maitre est fier de vous. Vous allez avoir besoin de créer plus d'objets avant de pouvoir vous faire appeler ""artisan légendaire"", mais vous êtes sur le bon chemin pour y arriver.";;;;;x
EVTOPTAambitions.18;Thanks, master.;Merci, maître.;;;;;x
EVTOPTBambitions.18;I want to learn more from you, Master.;Je veux en apprendre plus, Maitre.;;;;;x
EVTTITambitions.19;A Skilled Craftsman;Un Artisan Talentueux;;;;;x
EVTDESCambitions.19;Through further education of your master, you managed to improve your talents. You are now able to produce more valuable items, and better bill.;Grâce à un enseignement plus poussé de votre maitre, vous avez réussi à améliorer vos talents. Vous êtes dorénavant capable de réaliser des objets plus précieux, et de meilleure facture.;;;;;x
EVTOPTAambitions.19;My training is not over.;Ma formation n'est pas finie.;;;;;x
EVTOPTBambitions.19;It's enough for me.;C'est suffisant pour moi.;;;;;x
EVTTITambitions.20;A Master Craftsman;Un Maitre Artisan;;;;;x
EVTDESCambitions.20;Your master taught you everything he had to convey to you. You're able to compete with him, and your work is renowned. Now, if you want to achieve the rank of Legendary Craftsman, only your own talents will be helpful, and you'll have to make an unique piece.;Votre maitre vous a appris tout ce qu'il avait à vous transmettre. Vous êtes capable de rivaliser avec lui, et vos oeuvres sont renommées. Dorénavant, si vous voulez atteindre le rang d'Artisan Légendaire, seuls vos propres talents vous seront utiles, et vous devrez réaliser une pièce d'exception.;;;;;x
EVTOPTAambitions.20;I'm proud of my Skills.;Je suis fier de mes Capacités.;;;;;x
EVTTITambitions.21;End of your Teaching;Fin de votre Formation;;;;;x
EVTDESCambitions.21;You have reached your maximum level and are not able to become a better craftsman, in any case by following the lessons from your master. You're however able to craft some objects, which is not so bad. By the way, nothing will prevent you to try to make a single piece.;Vous avez atteint votre niveau maximum, et n'êtes pas capable de devenir un meilleur artisan, en tout cas en suivant les leçons de votre maitre. Vous êtes néanmoins capables de réaliser quelques objets, ce qui n'est pas si mal. Rien ne vous empêchera par la suite de tenter de réaliser une pièce unique.;;;;;x
EVTOPTAambitions.21;Thanks, master, for your help.;Merci, maître, pour votre enseignement.;;;;;x
EVTTITambitions.10;You can't progress more;Vous ne pouvez plus progresser;;;;;x
EVTDESCambitions.10;You can't progress more;Vous ne pouvez plus progresser;;;;;x
EVTTITambitions.14;You can't progress more;Vous ne pouvez plus progresser;;;;;x
EVTDESCambitions.14;You can't progress more;Vous ne pouvez plus progresser;;;;;x
EVTOPTAambitions.14;I see;@FIXME@ I see;;;;;x
EVTTITambitions.13;You're now a Legendary Warrior;@FIXME@ You're now a Legendary Warrior;;;;;x
EVTDESCambitions.13;You're now a Legendary Warrior;@FIXME@ You're now a Legendary Warrior;;;;;x
EVTOPTAambitions.13;I'm proud of my Skills.;Je suis fier de mes Capacités.;;;;;x
EVTTITambitions.12;You're now a Good Rider;@FIXME@ You're now a Good Rider;;;;;x
EVTDESCambitions.12;You're now a Good Rider;@FIXME@ You're now a Good Rider;;;;;x
EVTOPTAambitions.12;I'll continue to train!;Je vais continuer de m'entrainer !;;;;;x
EVTOPTBambitions.12;It's enough for me.;C'est suffisant pour moi.;;;;;x
EVTTITambitions.11;You're now a Trained Elf;@FIXME@ You're now a Trained Elf;;;;;x
EVTDESCambitions.11;You're now a Trained Elf;@FIXME@ You're now a Trained Elf;;;;;x
EVTOPTAambitions.11;I'll continue to train!;Je vais continuer de m'entrainer !;;;;;x
EVTOPTBambitions.11;It's enough for me.;C'est suffisant pour moi.;;;;;x
focus_theology_title;Genealogy;Généalogie;;;;;x
focus_theology_desc;[This.GetTitledFirstName] seeks to know more about his origins, his ancestors, and doesn't hesitate to delve into the most ancient archives.;[This.GetTitledFirstName] cherche à en savoir plus sur ses origines, ses ancêtres, et n'hésite pas à fouiller dans les plus anciennes archives.;;;;;x
GENEALOGY_FOCUS;Genealogy Focus;Intérêt en Généalogie;;;;;x
is_not_wilderness;is not wilderness.;N'est pas une Terre Sauvage.;;;;;x
EVTDESC_GENEALOGY_0;After some research in several books relating the history of your family, you discover that one of your ancestors had some elven blood in him! He's certainly a prestigious ancestor, and you can be proud of him. And with a little luck, you also have some elven blood in you.;Après de nombreuses recherches dans des archives relatant l'histoire de votre famille, vous découvrez que l'un de vos ancêtres au moins avait du sang elfique en lui! Voila certainement une chose que vous devriez faire connaitre autour de vous pour acquérir plus de prestige. Et avec un peu de chance, il se pourrait que vous possédiez aussi une part de ce sang elfique...;;;;;x
EVTOPTA_GENEALOGY_0;I am a descendant of the Eldar!;Je suis un descendant des Eldar!;;;;;x
