#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
squire;Squire;Ecuyer;;;;;;;;;;;x
squire_desc;This character is a squire of Rohan, and although not skilled in riding they can prepare the horses for war.;Ce personnage est un écuyer, pas un grand cavalier à proprement parler, mais il sait préparer les chevaux pour la guerre.;;;;;;;;;;;x
good_rider;Rider of Rohan;Bon Cavalier;;;;;;;;;;;x
good_rider_desc;This character is a good rider, able to fight from horseback on most battlefields, and skilled enough to command a small group of cavalry.;Ce personnage est un bon cavalier, capable de se battre à cheval sur la plupart des champs de bataille et de commander un petit régiment de cavalerie.;;;;;;;;;;;x
great_rider;Great Rider;Grand Cavalier;;;;;;;;;;;x
great_rider_desc;This character is a great rider, able to make war on any battlefield, and to command a large group of cavalry.;Ce personnage est un Grand Cavalier, capable de se battre sur tous les champs de bataille avec son cheval, et de commander un grand régiment de cavalerie;;;;;;;;;;;x
horse_master;Horse Master;Maitre des Chevaux;;;;;;;;;;;x
horse_master_desc;This character is a legendary horseman, and their horse is as famous as they are. They are able to command large armies, and are respected by all their people.;Ce personnage est un Cavalier Légendaire, et son cheval est au moins aussi connu que lui. Il peut commander de larges armées, et est respecté par son peuple.;;;;;;;;;;;x
amroth_squire;Squire of Dol Amroth;Ecuyer de Dol Amroth;;;;;;;;;;;x
amroth_squire_desc;This character has trained with the Knights of Dol Amroth, but is not skilled enough to be a Knight themselves.;Ce personnage s'est entraîné auprès des Chevaliers de Dol Amroth, mais n'est pas encore assez fort pour faire partie de cette cavalerie d'élite pour le moment.;;;;;;;;;;;x
amroth_knight;Knight of Dol Amroth;Chevalier de Dol Amroth;;;;;;;;;;;x
amroth_knight_desc;This character is a true Knight of Dol Amroth, part of the elite cavalry commanded by the Prince of Dol Amroth himself.;Ce personnage est un Chevalier de Dol Amroth, membre de cette cavalerie d'élite au service du Prince de Dol Amroth en personne.;;;;;;;;;;;x
weak_orc;Weak Orc;Orque Faible;;;;;;;;;;;x
weak_orc_desc;This character is a weak orc, and is ostracized by others. They need a lot of practice to achieve competence at war, and perhaps show themselves to be a true orc.;Ce personnage est faible, et est mis au ban de la société. Il a besoin de beaucoup d'entrainement pour atteindre un meilleur niveau et enfin pouvoir se revendiquer comme un orque véritable.;;;;;;;;;;;x
orc_warrior;Warrior Orc;Orque-Guerrier;;;;;;;;;;;x
orc_warrior_desc;This character is a skilled warrior capable of fighting both against those of their clan and their enemies.;Ce personnage est un guerrier, capable de se battre à la fois contre ceux de son clan et ses ennemis. ;;;;;;;;;;;x
strong_orc;Strong Orc;Orque Fort;;;;;;;;;;;x
strong_orc_desc;This character is both strong and skilled, and can stand up to most of those who would dare challenge them.;Ce personnage est réellement fort, et peut tenir tête à la plupart de ceux qui oseraient le défier.;;;;;;;;;;;x
great_orc;Great Orc;Grand Orque;;;;;;;;;;;x
great_orc_desc;This character is legendary among orcs, and few are able to challenge them. They are feared on the battlefield, and will greatly damage their opponent.;Ce personnage est puissant parmi les orques, et peu nombreux sont ceux capable de le défier. Sur un champ de bataille, il fera d'énormes dégats chez l'ennemi.;;;;;;;;;;;x
pacifist_elf;Pacifist Elf;Elfe Pacifique;;;;;;;;;;;x
pacifist_elf_desc;This elf has decided not to follow the path of war, and therefore has not developed their martial talents. On a battlefield, they would not be very useful...;Cet elfe a décidé de ne pas suivre le chemin de la guerre, et n'a donc pas développé ses talents martiaux. Sur un champ de bataille, il ne serait pas des plus utiles...;;;;;;;;;;;x
trained_elf;Trained Elf;Elfe Entraîné;;;;;;;;;;;x
trained_elf_desc;This elf has cultivated a martial training, and is able to fight against many lesser enemies. However, they need to improve their skills in order to compare to the great warriors of their race.;Cet elfe a suivé un entrainement martial, et est capable de se battre contre bon nombre d'ennemis. Il doit cependant encore améliorer ses talents pour pouvoir être à la hauteur des guerriers de sa race.;;;;;;;;;;;x
great_elf;Elf Warrior;Guerrier Elfe;;;;;;;;;;;x
great_elf_desc;This elf is a real fighter, able to beat most enemies, and fully equipped with armour and weaponry. They can also lead troops and conduct assaults.;Cet elfe est un vrai combattant, capable de battre la plupart de ses ennemis, et ayant un équipement solide. Il peut également diriger des troupes et mener des assauts.;;;;;;;;;;;x
legendary_warrior;Legendary Elven Warrior;Guerrier Légendaire;;;;;;;;;;;x
legendary_warrior_desc;This elf is known throughout Middle Earth for their fighting qualities. They have defeated many enemies, and are feared by those still alive. Their skill with both blade and bow raise them as one of the greatest warriors among their people.;Cet elfe est réputé dans toute la Terre du Milieu pour ses qualités de combattant. Il a vaincu de nombreux ennemis, et est craint par ceux encore vivants. Sa lame et son arc en font l'un des plus grandes guerriers des Peuples Libres.;;;;;;;;;;;x
mumakil_raiser;Mûmakil Breeder;Eleveur de Mûmakil;;;;;;;;;;;x
mumakil_raiser_desc;This character has been introduced to breeding Mûmakil, but is not trained enough to ride one in battle.;Ce personnage a été initié à l'élevage de Mûmakils, mais n'est pas assez fort pour pouvoir prétendre en chevaucher un.;;;;;;;;;;;x
mumakil_groom;Mûmakil Trainer;Dresseur de Mûmakil;;;;;;;;;;;x
mumakil_groom_desc;This character is able to train Mûmakil, but is not yet skilled enough to ride one in battle.;Ce personnage est capable de dresser des Mûmakils, mais pas encore d'en chevaucher un au combat.;;;;;;;;;;;x
mumakil_rider;Mûmakil Rider;Chevaucher de Mûmakil;;;;;;;;;;;x
mumakil_rider_desc;This character is able to ride a Mûmakil into battle. In them, the people of Harad have a terrifying fighter.;Ce personnage est capable de chevaucher un Mûmakil, et de le mener au combat. Avec lui, les peuples de Harad ont un terrifiant combattant.;;;;;;;;;;;x
mumakil_commander;Mûmakil Commander;Commandant de Mûmakil;;;;;;;;;;;x
mumakil_commander_desc;This character is capable of leading a group of Mûmakil, a great honour and proof of their skill, courage and strength.;Ce personnage est capable de diriger un régiment de Mûmakil, une aptitude rare qui prouve son courage et sa force.;;;;;;;;;;;x
dwarf_warrior;Dwarf Warrior;Guerrier Nain;;;;;;;;;;;x
dwarf_warrior_desc;This character is a warrior of the dwarves, skilled enough to fight in battle, but not to lead.;Ce personnage est un Guerrier Nain, capable de se battre contre ses ennemis, mais pas de commander un régiment.;;;;;;;;;;;x
trained_dwarf;Skilled Dwarf Warrior;Guerrier Nain Entraîné;;;;;;;;;;;x
trained_dwarf_desc;This character has undergone long training, and is able not only to fight well, but also to lead a small group of dwarves in battle.;Ce personnage a subi un long entrainement, et est capable de se battre, mais aussi de diriger un petit régiment de nains.;;;;;;;;;;;x
great_axeman;Great Axewarrior;Grand Manieur de Haches;;;;;;;;;;;x
great_axeman_desc;This character is known for their ability to wield the axe, and many enemies have fallen beneath their blows. They are respected, and can lead large groups of dwarves into battle.;Ce personnage est réputé pour sa capacité à manier la hache, et de nombreuses têtes ennemies sont tombées sous ses coups. Il est respecté, et peut commander de grands régiments de nains.;;;;;;;;;;;x
dragon_slayer;Dragon-Slayer;Tueur-de-Dragons;;;;;;;;;;;x
dragon_slayer_desc;This character is so skilled that some say they could kill a dragon single handed. Their enemies fear them, their people respect them, and they truely were born to be a great commander.;Ce personnage est si fort qu'on le dit capable de tuer un dragon à lui tout seul. Ses ennemis le craignent, ses amis le respectent, et il est un véritable commandant né.;;;;;;;;;;;x
EVTDESCsoldiertraits.1;Your people are known for their great skill as riders, and it's time to start training. With your tutor, himself a skilled rider, you learn to ride and fight from horseback. By the end of the session you have begun to show some talent...;Votre peuple est réputé pour donner de très bons cavaliers, et il est temps de commencer votre entraînement. Avec votre tuteur, lui-même cavalier, vous apprenez à agir avec les chevaux, et vous commencez à avoir quelques talents...;;;;;;;;;;;x
EVTOPTAsoldiertraits.1;I'm now a Squire of Rohan!;Je suis maintenant un Ecuyer !;;;;;;;;;;;x
EVTDESCsoldiertraits.2;After becoming a squire, you continued to improve your skills. You are now able to ride your horse in battle, but there's still a lot of work to do before reaching the level of Eorl!;Après être devenu écuyer, vous avez continué à améliorer vos aptitudes. Vous êtes maintenant capable de monter votre cheval au combat, mais il reste encore du chemin avant d'atteindre le niveau d'Eorl !;;;;;;;;;;;x
EVTOPTAsoldiertraits.2;I am a Rider of Rohan!.;Je suis un Bon Cavalier.;;;;;;;;;;;x
EVTDESCsoldiertraits.3;Your tutor continues to teach you and, with time, you have developed more skills. You are now a true horseman, able to fight with great skill on horseback, and effectively command a cavalry group.;Votre tuteur continue à vous apprendre à monter à cheval, et avec le temps, vous avez développé de plus en plus d'aptitudes. Vous êtes maintenant un véritable cavalier, capable de vous battre à cheval, et de diriger un bon régiment de cavalerie.;;;;;;;;;;;x
EVTOPTAsoldiertraits.3;I am a Great Rider !;Je suis un Grand Cavalier !;;;;;;;;;;;x
EVTDESCsoldiertraits.4;By the training of your tutor and your perseverance, you have reached an exceptional level. You are now a true Horse Master, a famed expert of combat among your own people. Your own horse is now too fully trained, and is equally well known among your people.;Grâce aux enseignements de votre tuteur, vous avez atteint un niveau exceptionnel. Vous êtes maintenant un véritable Maitre des Chevaux, capable de dresser et monter n'importe lequel d'entre eux. Votre propre cheval est maintenant parfaitement dressé, et est réputé parmi votre peuple.;;;;;;;;;;;x
EVTOPTAsoldiertraits.4;I am a Horse-Master!.;Je suis un Maitre des Chevaux.;;;;;;;;;;;x
EVTDESCsoldiertraits.5;The child that you took under your wing continues to grow and improve. He has become a better rider, and the pride of his kin.;L'enfant que vous avez pris sous votre aile ne cesse de progresser et d'améliorer son niveau. Il devient un meilleur cavalier, et fait la fierté de son peuple.;;;;;;;;;;;x
EVTOPTAsoldiertraits.5;I am proud of him too!;Je suis fier de lui !;;;;;;;;;;;x
EVTDESCsoldiertraits.6;You undergo training from a Knight of Dol Amroth, and have been taken to your first session. You have been scouted by the commander of this elite unit, and he has given you the status of squire.;Vous êtes éduqué par un Chevalier de Dol Amroth, et il vous a emmené à vos premiers entrainements. Vous avez été repéré par le Commandant de cette unité d'élite, qui vous a donné le statut d'écuyer.;;;;;;;;;;;x
EVTOPTAsoldiertraits.6;I am a Squire of Dol Amroth!;Je suis un Ecuyer de Dol Amroth !;;;;;;;;;;;x
EVTDESCsoldiertraits.7;Since you became a squire of Dol Amroth, you have never stopped training. Your skills have improved significantly, and after a ceremony in the halls of the Knights, the Prince himself has appointed you as a Knight of Dol Amroth. He has given you the sword and armor of the Swan, which you wear with pride among the most famed fighters of the kingdom.;Depuis que vous êtes écuyer de Dol Amroth, vous ne cessez de vous entrainez. Vos talents se sont nettement améliorés, et après une courte cérémonie, le Prince lui-même vous a fait Chevalier de Dol Amroth. Vous pouvez maintenant revetir l'armure au Cygne;;;;;;;;;;;x
EVTOPTAsoldiertraits.7;I am a Knight of Dol Amroth!;Je suis un Chevalier de Dol Amroth!;;;;;;;;;;;x
EVTDESCsoldiertraits.8;The boy you took under your wing has been brilliantly trained, and now reflects the chivalry of Dol Amroth. Thanks to your teachings, he progresses more and more each day.;;;;;;;;;;;;x
EVTDESCsoldiertraits.9;Your guardian has finished today's sparring session, and you have progressed slightly. Nevertheless, you remain a weak and craven orc, with little chance of survival.;;;;;;;;;;;;x
EVTOPTAsoldiertraits.9;I am still so weak...;Je suis encore si faible…;;;;;;;;;;;x
EVTDESCsoldiertraits.10;Your tutor often spars with you in the ring, and you've managed to improve your skills. You're not a great fighter, but you're able to defend yourself, which is not so bad.;Votre tuteur se bat souvent contre vous, et vous avez finalement réussi à améliorer vos aptitudes. Vous n'etes pas un grand orque, mais vous êtes capable de vous battre, ce qui n'est pas si mal.;;;;;;;;;;;x
EVTOPTAsoldiertraits.10;I am a Warrior.;Je suis un Combattant.;;;;;;;;;;;x
EVTDESCsoldiertraits.11;You have progressed through an increasingly difficult training, defeating your opponents, and improving your skills. You become stronger and stronger, and you have finally started making a name for yourself among your people.;Vous avez suivi un entrainement de plus en plus poussé, battant vos adversaires, et améliorant vos aptitudes. Vous devenez de plus en plus fort, et vous commencez à vous faire un nom parmi vos semblables.;;;;;;;;;;;x
EVTOPTAsoldiertraits.11;I am Strong Orc.;Je suis Fort.;;;;;;;;;;;x
EVTDESCsoldiertraits.12;After an incredibly hard drive, you have managed to reach the level of the most feared orcs in Middle Earth. Both friends and enemies respect your great abilities.;Après avoir suivi un entrainement incroyablement difficile, vous avez réussi à atteindre le niveau des plus grands orques de la Terre du Milieu. Vous êtes redoutable, craint à la fois de vos amis et de vos ennemis.;;;;;;;;;;;x
EVTOPTAsoldiertraits.12;I am a Great Orc.;Je suis Grand.;;;;;;;;;;;x
EVTDESCsoldiertraits.13;Having led a young orc in training, you see that he has progressed. If you give him more lashes, maybe he'll finally come to an acceptable level.;Après avoir entrainé un jeune orque, vous voyez que celui-ci progresse. Si vous lui donnez plus de coups de fouets, peut-être qu'il arrivera à un niveau acceptable.;;;;;;;;;;;x
EVTDESCsoldiertraits.14;You have received a basic military training, but now turn away from violence. You prefer peace to war, and songs to swords. Perhaps your tutor will come to make you change your mind, but for now, you will not fight.;Vous avez reçu une petite formation militaire, mais vous vous en êtes détourné. Vous préférez la paix à la guerre, et les chansons aux épées. Peut-être que votre tuteur arrivera à vous faire changer d'avis, mais pour le moment, vous êtes pacifique.;;;;;;;;;;;x
EVTOPTAsoldiertraits.14;I am no Warrior.;Je ne suis pas un Guerrier.;;;;;;;;;;;x
EVTDESCsoldiertraits.15;Your tutor has told you about wars of times past and the massacres endured by your people. He has convinced you that if you are able to fight, you might better protect your kin against the darkness rising in the East.;;;;;;;;;;;;x
EVTOPTAsoldiertraits.15;I will be trained.;Je serais entrainé.;;;;;;;;;;;x
EVTDESCsoldiertraits.16;After your first few sessions, you have felt the desire to progress further. You have now reached an acceptable level of skill, allowing you to fight most of your enemies.;Après vos premiers entrainements, vous avez éprouvé le désir de progresser encore. Vous avez maintenant atteint un niveau de combat acceptable, qui vous permettra de combattre la plupart de vos ennemilso s.;;;;;;;;;;;x
EVTOPTAsoldiertraits.16;I am a now Warrior.;Je suis un Guerrier maintenant.;;;;;;;;;;;x
EVTDESCsoldiertraits.17;You have made tremendous progress, and you are now one of the most powerful warriors of your race. Few enemies can withstand you, and you can lead large groups of warriors into battle. You will be the champion of your race.;Vous avez fait d'énormes progrès, et êtes maintenant l'un des guerriers les plus puissants parmi les votres. Peu d'ennemis peuvent vous résister, et vous pouvez mener de grandes troupes au combat. Vous serez le défenseur de votre race.;;;;;;;;;;;x
EVTOPTAsoldiertraits.17;I am a Strong Warrior.;Je suis un Guerrier Puissant.;;;;;;;;;;;x
EVTDESCsoldiertraits.18;The young elf you educated progress in the art of war. If you get to maintain this level of training, he will become a great warrior.;Le jeune elfe que vous éduqué progresse dans l'art de la guerre. Si vous arrivez à maintenir ce niveau d'entrainement,  il deviendra un grand guerrier.;;;;;;;;;;;x
EVTDESCsoldiertraits.19;You have started training to master the Mûmakil. At the moment, you know how to breed and sustain them, but soon maybe you'll ride them into battle...;Vous avez commencé une formation afin de maitriser un Mûmakil. Pour le moment, vous savez comment les élever, mais bientot peut-être saurez-vous les chevaucher au combat...;;;;;;;;;;;x
EVTOPTAsoldiertraits.19;I am a Mûmakil Breeder.;Je suis un Eleveur de Mûmakil.;;;;;;;;;;;x
EVTDESCsoldiertraits.20;With the help of your tutor, you have managed to train your first Mûmakil. You are one step closer to riding them.;Avec l'aide de votre tuteur, vous avez réussi à dresser votre premier Mûmakil. Vous faites un pas de plus vers la chevauchée.;;;;;;;;;;;x
EVTOPTAsoldiertraits.20;I am a Mûmakil Trainer!;Je suis un Dresseur de Mûmakil.;;;;;;;;;;;x
EVTDESCsoldiertraits.21;With the help of your tutor, you have managed to ride your first Mûmakil in a combat exercise. You're now a formidable warrior, capable of leading these huge beasts into combat.;Avec l'aide de votre tuteur, vous avez réussi à chevaucher votre premier Mûmakil en exercice de combat. Vous êtes maintenant un redoutable guerrier, capable de mener ces immenses bêtes au combat.;;;;;;;;;;;x
EVTOPTAsoldiertraits.21;Fear me now!;Craignez-moi maintenant !;;;;;;;;;;;x
EVTDESCsoldiertraits.22;You are now able to lead a group of several Mûmakil while riding your own. You are a formidable commander and few enemies would dare try and overcome you...;Vous êtes maintenant capable de diriger une compagnie de Mûmakil depuis le sommet du votre. Vous êtes un redoutable commandant, et peu d'ennemis pourraient vous vaincre...;;;;;;;;;;;x
EVTOPTAsoldiertraits.22;I am terrifying!;Je suis terrifiant!;;;;;;;;;;;x
EVTDESCsoldiertraits.23;With your help, this young haradrim you trained has raised his competence with the Mûmakil.;Avec votre aide, le jeune Haradrim que vous entrainez a augmenté ses compétences auprès des Mûmakils.;;;;;;;;;;;x
EVTDESCsoldiertraits.24;You have started military training. Tagging along with a party of warriors, you've managed to learn basic tactics, and are able to defend yourself.;Vous avez commencé une formation militaire. Au sein d'un régiment de nains, vous avez réussi à apprendre des tactiques de bases, et êtes capable de vous défendre.;;;;;;;;;;;x
EVTOPTAsoldiertraits.24;Baruk Khazad!;Baruk Khazad !;;;;;;;;;;;x
EVTDESCsoldiertraits.25;You have kept training and are now stronger. You can command a small group, but you still have much room to improve before you might reach the level of your legendary ancestors.;Vous avez continué à vous entrainé, et êtes maintenant plus fort. Vous pouvez diriger une petite troupe, mais vous pouvez encore vous améliorer avant d'atteindre le niveau des ancêtres légendaires des nains.;;;;;;;;;;;x
EVTOPTAsoldiertraits.25;Baruk Khazad !;Baruk Khazad!;;;;;;;;;;;x
EVTDESCsoldiertraits.26;You are now an impressive fighter, wielding the axe with great skill. You are feared by your enemies, and can lead a large group.;Vous êtes maintenant un combattant impressionnant, maniant la hache avec dexterité, faisant tomber de nombreuses tetes, coupant d'innombrables jambes. Vous êtes craint par vos ennemis, et pouvez commander une troupe plus importante.;;;;;;;;;;;x
EVTOPTAsoldiertraits.26;Baruk Khazad! Khazad-ai-menu !;Baruk Khazad ! Khazad-ai-menu !;;;;;;;;;;;x
EVTDESCsoldiertraits.27;You are one of the greatest warriors of your people. Your strength and skill is respected among your peers, and some even say you could kill a dragon using only your axe...;Vous êtes l'un des plus grands guerriers de votre peuple. Votre force est reconnue parmi vos pairs, et certains vous disent même capable de tuer un dragon avec votre seule hache...;;;;;;;;;;;x
EVTOPTAsoldiertraits.27;Baruk Khazad! Khazad-ai-menu !;Baruk Khazad ! Khazad-ai-menu !;;;;;;;;;;;x
EVTDESCsoldiertraits.28;With your help, the young dwarf you trained has raised his martial competence.;Avec votre aide, le jeune nain que vous entrainez a amélioré ses compétences au combat.;;;;;;;;;;;x
EVTDESCsoldiertraits.29;@FIXME@ Learning to be a Ranger of North from your guardian;@FIXME@ Learning to be a Ranger of North from your guardian;;;;;;;;;;;x
EVTOPTAsoldiertraits.29;Stick 'em with the pointy end!;@FIXME@ Stick 'em with the pointy end!;;;;;;;;;;;x
EVTDESCsoldiertraits.30;@FIXME@ Upgrade to ranger;@FIXME@ Upgrade to ranger;;;;;;;;;;;x
EVTOPTAsoldiertraits.30;@FIXME@ Nice;@FIXME@ Nice;;;;;;;;;;;x
EVTDESCsoldiertraits.31;@FIXME@ Upgrade to captain;@FIXME@ Upgrade to captain;;;;;;;;;;;x
EVTOPTAsoldiertraits.31;@FIXME@ Nice;@FIXME@ Nice;;;;;;;;;;;x
EVTDESCsoldiertraits.32;@FIXME@ Upgrade to grey member;@FIXME@ Upgrade to grey member;;;;;;;;;;;x
EVTOPTAsoldiertraits.32;@FIXME@ Wonderful;@FIXME@ Wonderful;;;;;;;;;;;x
EVTDESCsoldiertraits.33;@FIXME@ Learning to be a Bowman from your guardian;@FIXME@ Learning to be a Bowman from your guardian;;;;;;;;;;;x
EVTOPTAsoldiertraits.33;Stick 'em with the pointy end!;@FIXME@ Stick 'em with the pointy end!;;;;;;;;;;;x
EVTDESCsoldiertraits.34;@FIXME@ Upgrade to skilled bowman;@FIXME@ Upgrade to skilled bowman;;;;;;;;;;;x
EVTOPTAsoldiertraits.34;@FIXME@ Nice;@FIXME@ Nice;;;;;;;;;;;x
EVTDESCsoldiertraits.35;@FIXME@ Upgrade to great bowman;@FIXME@ Upgrade to great bowman;;;;;;;;;;;x
EVTOPTAsoldiertraits.35;@FIXME@ Nice;@FIXME@ Nice;;;;;;;;;;;x
EVTDESCsoldiertraits.36;@FIXME@ Upgrade to master bowman;@FIXME@ Upgrade to master bowman;;;;;;;;;;;x
EVTOPTAsoldiertraits.36;@FIXME@ Wonderful;@FIXME@ Wonderful;;;;;;;;;;;x
EVTDESCsoldiertraits.37;@FIXME@ Learning to be a Ranger of Ithilien from your guardian;@FIXME@ Learning to be a Ranger of Ithilien from your guardian;;;;;;;;;;;x
EVTOPTAsoldiertraits.37;Stick 'em with the pointy end!;@FIXME@ Stick 'em with the pointy end!;;;;;;;;;;;x
EVTDESCsoldiertraits.38;@FIXME@ Upgrade to ithilien captain;@FIXME@ Upgrade to ithilien captain;;;;;;;;;;;x
EVTOPTAsoldiertraits.38;@FIXME@ Nice;@FIXME@ Nice;;;;;;;;;;;x
dunedain_scout;Dúnedain Scout;Eclaireur Dúnedain;;;;;;;;;;;x
dunedain_scout_desc;This character is a skilled tracker, and can spy on enemies without being noticed.;Ce personnage est capable de remonter des pistes, et d'espionner les ennemis sans se faire remarquer.;;;;;;;;;;;x
dunedain_ranger;Ranger of North;Rôdeur du Nord;;;;;;;;;;;x
dunedain_ranger_desc;This character is a Dúnedain ranger tasked with repelling any enemy troops attempting to infiltrate Eriador.;Ce personnage est de repousser des troupes ennemies qui tenteraient de s'infiltrer l'Eriador.;;;;;;;;;;;x
dunedain_captain;Dúnedain Captain;Capitaine des Dúnedain;;;;;;;;;;;x
dunedain_captain_desc;This character is able to lead a small band of rangers in combat. His skills in combat are rightly recognized by his peers.;Ce personnage est capable de mener une petite troupe de rodeurs au combat. Ses talents au combat sont reconnus par ses pairs.;;;;;;;;;;;x
grey_member;Grey Company Member;Membre de la Compagnie Grise;;;;;;;;;;;x
grey_member_desc;This character is one of the most skilled in combat among the Dúnedain. They are directly descended from the noblest families of Arnor, and their talent in battle makes them a true member of the prestigious Grey Company.;Ce personnage fait partie des Dunedain les plus forts. Il descend directement des plus nobles familles d'Arnor, et son talent au combat en fait un membre à part entière de la prestigieuse Compagnie Grise.;;;;;;;;;;;x
bowman;Bowman;Archer;;;;;;;;;;;x
bowman_desc;This character knows the basics of how to use a bow.;Ce personnage sait se servir d'un arc.;;;;;;;;;;;x
skilled_bowman;Skilled Bowman;Archer Talentueux;;;;;;;;;;;x
skilled_bowman_desc;This character is skilled with a bow, and is able to shoot even distant targets accurately and consistently.;Ce personnage sait se servir d'un arc, et est capable de tirer avec précision sur des cibles éloignées.;;;;;;;;;;;x
great_bowman;Great Bowman;Archer Reconnu;;;;;;;;;;;x
great_bowman_desc;This character never misses a shot whatever the distance, and demonstrates a frighteningly high rate of fire.;Ce personnage touche sa cible à chaque tir, et fait preuve d'une grande vitesse de tir.;;;;;;;;;;;x
master_bowman;Master Bowman;Maître-Archer;;;;;;;;;;;x
master_bowman_desc;This character is an extremely talented archer, and as such teaches many younger souls in the art of archery.;Ce personnage est un archer très talentueux, et forme de nombreux jeunes à l'art de l'archerie.;;;;;;;;;;;x
ithilien_ranger;Ranger of Ithilien;Rodeur d'Ithilien;;;;;;;;;;;x
ithilien_ranger_desc;This character is a true ranger of Ithilien, able to move silently, shoot quickly and attack any unprepared enemy venturing into the eastern lands of Gondor.;Ce personnage est un véritable rodeur d'Ithilien, capable de se déplacer sans bruits et d'attaquer n'importe quelle troupe s'aventurant sur ses terres.;;;;;;;;;;;x
ithilien_captain;Captain of the Rangers of Ithilien;Capitaine des Rodeurs d'Ithilien;;;;;;;;;;;x
ithilien_captain_desc;This character is a captain of the Rangers of Ithilien, and is able to lead effective stealth and guerilla warfare against enemy troops.;Ce personnage est un capitaine des Rodeurs d'Ithilien, et est capable de mener des assauts furtifs contre des troupes ennemies.;;;;;;;;;;;x
master_fighter;@FIXME@ Master Fighter;@FIXME@ Master Fighter;;;;;;;;;;;x
master_fighter_desc;@FIXME@ Master Fighter;@FIXME@ Master Fighter;;;;;;;;;;;x
skilled_fighter;@FIXME@ Skilled Fighter;@FIXME@ Skilled Fighter;;;;;;;;;;;x
skilled_fighter_desc;@FIXME@ Skilled Fighter;@FIXME@ Skilled Fighter;;;;;;;;;;;x
adept_fighter;@FIXME@ Adept Fighter;@FIXME@ Adept Fighter;;;;;;;;;;;x
adept_fighter_desc;@FIXME@ Adept Fighter;@FIXME@ Adept Fighter;;;;;;;;;;;x
novice_fighter;@FIXME@ Novice Fighter;@FIXME@ Novice Fighter;;;;;;;;;;;x
novice_fighter_desc;@FIXME@ Novice Fighter;@FIXME@ Novice Fighter;;;;;;;;;;;x
